Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Medication_1,Medication_2,Medication_3,Medication_4,combined_text
Head Lice,Itchy scalp,Visible lice on scalp,Sores on scalp,Tickling feeling on scalp,Topical pediculicides (Permethrin),Comb out nits,Oral Ivermectin,Washing personal items,Itchy scalp Visible lice on scalp Sores on scalp Tickling feeling on scalp Topical pediculicides (Permethrin) Comb out nits Oral Ivermectin Washing personal items
Heart Attack,Chest pain,Shortness of breath,Cold sweats,Nausea,Immediate aspirin,Nitroglycerin,Blood thinners (heparin),Coronary angioplasty,Chest pain Shortness of breath Cold sweats Nausea Immediate aspirin Nitroglycerin Blood thinners (heparin) Coronary angioplasty
Hepatitis B,Jaundice,Fatigue,Abdominal pain,Dark urine,"Antiviral medications (Entecavir, Tenofovir)",Liver transplant (severe cases),Rest,Vaccination (preventative),"Jaundice Fatigue Abdominal pain Dark urine Antiviral medications (Entecavir, Tenofovir) Liver transplant (severe cases) Rest Vaccination (preventative)"
Herpes Simplex Virus (HSV),Painful sores,Itching,Fever,Swollen lymph nodes,Antiviral medications (Acyclovir),Topical creams,Pain relievers,Supportive care,Painful sores Itching Fever Swollen lymph nodes Antiviral medications (Acyclovir) Topical creams Pain relievers Supportive care
Hidradenitis Suppurativa,Painful lumps,Skin abscesses,Scarring,Pus drainage,Antibiotics,Steroid injections,Surgical drainage,Retinoids,Painful lumps Skin abscesses Scarring Pus drainage Antibiotics Steroid injections Surgical drainage Retinoids
High Blood Pressure (Hypertension),Headaches,Dizziness,Shortness of breath,Nosebleeds,ACE inhibitors,Diuretics,Beta blockers,"Lifestyle changes (diet, exercise)","Headaches Dizziness Shortness of breath Nosebleeds ACE inhibitors Diuretics Beta blockers Lifestyle changes (diet, exercise)"
HIV/AIDS,Fatigue,Weight loss,Frequent infections,Swollen lymph nodes,Antiretroviral therapy (ART),Preventive antibiotics (for infections),Nutritional support,Counseling and support,Fatigue Weight loss Frequent infections Swollen lymph nodes Antiretroviral therapy (ART) Preventive antibiotics (for infections) Nutritional support Counseling and support
Huntington's Disease,Involuntary movements,Cognitive decline,Depression,Personality changes,Antidepressants,Antipsychotics,Physical therapy,Speech therapy,Involuntary movements Cognitive decline Depression Personality changes Antidepressants Antipsychotics Physical therapy Speech therapy
Hypothyroidism,Fatigue,Weight gain,Cold intolerance,Constipation,Thyroid hormone replacement (Levothyroxine),Regular thyroid monitoring,Dietary adjustments,Unknown,Fatigue Weight gain Cold intolerance Constipation Thyroid hormone replacement (Levothyroxine) Regular thyroid monitoring Dietary adjustments Unknown
Irritable Bowel Syndrome (IBS),Abdominal pain,Bloating,Diarrhea/constipation,Cramping,Antispasmodics,Dietary changes (low FODMAP),Fiber supplements,Probiotics,Abdominal pain Bloating Diarrhea/constipation Cramping Antispasmodics Dietary changes (low FODMAP) Fiber supplements Probiotics
Influenza (Flu),Fever,Body aches,Cough,Fatigue,Antiviral medications (Oseltamivir),Fluids,Rest,Pain relievers,Fever Body aches Cough Fatigue Antiviral medications (Oseltamivir) Fluids Rest Pain relievers
Inguinal Hernia,Bulging in groin,Pain when bending,Lump in groin,Discomfort,Surgery (hernia repair),Supportive care (if small),Pain relievers,Watchful waiting,Bulging in groin Pain when bending Lump in groin Discomfort Surgery (hernia repair) Supportive care (if small) Pain relievers Watchful waiting
Iron Deficiency Anemia,Fatigue,Pale skin,Shortness of breath,Cold hands and feet,Iron supplements,Iron-rich diet,Blood transfusion (severe cases),Treat underlying cause,Fatigue Pale skin Shortness of breath Cold hands and feet Iron supplements Iron-rich diet Blood transfusion (severe cases) Treat underlying cause
Ischemic Stroke,Sudden weakness on one side,Difficulty speaking,Facial droop,Confusion,Thrombolytics,Clot-removal surgery,"Rehabilitation (physical, speech)",Blood pressure control,"Sudden weakness on one side Difficulty speaking Facial droop Confusion Thrombolytics Clot-removal surgery Rehabilitation (physical, speech) Blood pressure control"
Impetigo,Red sores around nose and mouth,Itching,Pus-filled blisters,Crusting of sores,Topical antibiotics (Mupirocin),Oral antibiotics,Good hygiene,Keep affected area clean,Red sores around nose and mouth Itching Pus-filled blisters Crusting of sores Topical antibiotics (Mupirocin) Oral antibiotics Good hygiene Keep affected area clean
Infectious Mononucleosis,Fatigue,Sore throat,Swollen lymph nodes,Fever,Rest,Fluids,Pain relievers (acetaminophen),Antivirals (rare cases),Fatigue Sore throat Swollen lymph nodes Fever Rest Fluids Pain relievers (acetaminophen) Antivirals (rare cases)
Interstitial Cystitis,Pelvic pain,Frequent urination,Urgency to urinate,Painful urination,Bladder distention,Antihistamines,Pain relievers,Bladder training,Pelvic pain Frequent urination Urgency to urinate Painful urination Bladder distention Antihistamines Pain relievers Bladder training
Insomnia,Difficulty falling asleep,Waking up frequently during the night,Daytime tiredness,Irritability,Sleep hygiene techniques,Behavioral therapy,Medications (sleep aids),Relaxation techniques,Difficulty falling asleep Waking up frequently during the night Daytime tiredness Irritability Sleep hygiene techniques Behavioral therapy Medications (sleep aids) Relaxation techniques
Jaundice,Yellowing of the skin and eyes,Dark urine,Pale stools,Itching,"Treat underlying cause (e.g., liver disease)",Fluids,Phototherapy (for newborns),Supportive care,"Yellowing of the skin and eyes Dark urine Pale stools Itching Treat underlying cause (e.g., liver disease) Fluids Phototherapy (for newborns) Supportive care"
Joint Pain,Stiffness,Swelling,Redness,Decreased range of motion,Pain relievers (NSAIDs),Physical therapy,Steroid injections,Exercise,Stiffness Swelling Redness Decreased range of motion Pain relievers (NSAIDs) Physical therapy Steroid injections Exercise
Juvenile Arthritis,Joint swelling,Fatigue,Fever,Stiffness,Anti-inflammatory drugs (NSAIDs),DMARDs (Methotrexate),Physical therapy,Biologic agents (severe cases),Joint swelling Fatigue Fever Stiffness Anti-inflammatory drugs (NSAIDs) DMARDs (Methotrexate) Physical therapy Biologic agents (severe cases)
Juvenile Diabetes (Type 1),Increased thirst,Frequent urination,Weight loss,Weakness,Insulin injections,Regular blood sugar monitoring,Dietary changes,Exercise,Increased thirst Frequent urination Weight loss Weakness Insulin injections Regular blood sugar monitoring Dietary changes Exercise
Jock Itch,Itchy rash in groin,Redness,Flaking or peeling skin,Burning sensation,Topical antifungals,Oral antifungals,Good hygiene,Keep area dry,Itchy rash in groin Redness Flaking or peeling skin Burning sensation Topical antifungals Oral antifungals Good hygiene Keep area dry
Jaundice in Newborns,Yellow skin and eyes,Poor feeding,Sleepiness,High-pitched cry,Phototherapy,Fluids,Blood transfusion (in severe cases),Monitoring bilirubin levels,Yellow skin and eyes Poor feeding Sleepiness High-pitched cry Phototherapy Fluids Blood transfusion (in severe cases) Monitoring bilirubin levels
Jellyfish Sting,Burning pain,Redness,Swelling,Tingling sensation,Remove tentacles,Vinegar rinse,Pain relievers,Antihistamines,Burning pain Redness Swelling Tingling sensation Remove tentacles Vinegar rinse Pain relievers Antihistamines
Kidney Stones,Severe pain in side and back,Pain during urination,Blood in urine,Nausea,Fluids,Pain relievers,Shockwave lithotripsy,Ureteroscopy (for large stones),Severe pain in side and back Pain during urination Blood in urine Nausea Fluids Pain relievers Shockwave lithotripsy Ureteroscopy (for large stones)
Kawasaki Disease,Fever,Rash,Swollen hands and feet,Red eyes,Intravenous immunoglobulin (IVIG),Aspirin,Supportive care,Monitoring heart complications,Fever Rash Swollen hands and feet Red eyes Intravenous immunoglobulin (IVIG) Aspirin Supportive care Monitoring heart complications
Kaposi's Sarcoma,Purple skin lesions,Swollen lymph nodes,Cough,Shortness of breath,Chemotherapy,Radiation therapy,Antiretroviral therapy (for HIV patients),Immunotherapy,Purple skin lesions Swollen lymph nodes Cough Shortness of breath Chemotherapy Radiation therapy Antiretroviral therapy (for HIV patients) Immunotherapy
Keratitis,Red eye,Eye pain,Blurred vision,Sensitivity to light,Antibiotic eye drops,Antiviral eye drops,Artificial tears,Eye patch (in severe cases),Red eye Eye pain Blurred vision Sensitivity to light Antibiotic eye drops Antiviral eye drops Artificial tears Eye patch (in severe cases)
Klinefelter Syndrome,Low testosterone,Small testicles,Infertility,Delayed puberty,Testosterone replacement therapy,Fertility treatment,Psychotherapy,Supportive care,Low testosterone Small testicles Infertility Delayed puberty Testosterone replacement therapy Fertility treatment Psychotherapy Supportive care
Kidney Infection (Pyelonephritis),Fever,Back pain,Painful urination,Nausea,Antibiotics,Fluids,Pain relievers,Hospitalization (severe cases),Fever Back pain Painful urination Nausea Antibiotics Fluids Pain relievers Hospitalization (severe cases)
Knee Osteoarthritis,Joint stiffness,Pain in the knee,Swelling,Decreased range of motion,Physical therapy,Weight loss,Pain relievers (NSAIDs),Joint replacement surgery (severe cases),Joint stiffness Pain in the knee Swelling Decreased range of motion Physical therapy Weight loss Pain relievers (NSAIDs) Joint replacement surgery (severe cases)
Kyphosis,Hunched back,Back pain,Stiffness,Decreased mobility,Physical therapy,Back brace,Pain relievers,Surgery (severe cases),Hunched back Back pain Stiffness Decreased mobility Physical therapy Back brace Pain relievers Surgery (severe cases)
Lactose Intolerance,Diarrhea,Abdominal cramps,Bloating,Gas,Lactase supplements,Dietary changes (lactose-free diet),Probiotics,Calcium supplements,Diarrhea Abdominal cramps Bloating Gas Lactase supplements Dietary changes (lactose-free diet) Probiotics Calcium supplements
Laryngitis,Hoarseness,Sore throat,Cough,Loss of voice,Resting the voice,Fluids,Steam inhalation,Lozenges,Hoarseness Sore throat Cough Loss of voice Resting the voice Fluids Steam inhalation Lozenges
Leprosy,Numbness in extremities,Skin lesions,Muscle weakness,Eye problems,"Antibiotics (Dapsone, Rifampicin)",Corticosteroids,Physical therapy,Surgery (to restore function),"Numbness in extremities Skin lesions Muscle weakness Eye problems Antibiotics (Dapsone, Rifampicin) Corticosteroids Physical therapy Surgery (to restore function)"
Leukemia,Fatigue,Easy bruising,Frequent infections,Weight loss,Chemotherapy,Radiation therapy,Bone marrow transplant,Targeted therapy,Fatigue Easy bruising Frequent infections Weight loss Chemotherapy Radiation therapy Bone marrow transplant Targeted therapy
Liver Cirrhosis,Fatigue,Jaundice,Abdominal swelling,Confusion,"Treat underlying cause (alcohol, hepatitis)",Diuretics,Liver transplant,Supportive care,"Fatigue Jaundice Abdominal swelling Confusion Treat underlying cause (alcohol, hepatitis) Diuretics Liver transplant Supportive care"
Lupus (Systemic Lupus Erythematosus),Fatigue,Joint pain,Rashes,Fever,Anti-inflammatory drugs (NSAIDs),Corticosteroids,Immune suppressants,Antimalarials (Hydroxychloroquine),Fatigue Joint pain Rashes Fever Anti-inflammatory drugs (NSAIDs) Corticosteroids Immune suppressants Antimalarials (Hydroxychloroquine)
Lyme Disease,Bullseye rash,Fever,Chills,Joint pain,Antibiotics (Doxycycline),Pain relievers,Physical therapy,Supportive care,Bullseye rash Fever Chills Joint pain Antibiotics (Doxycycline) Pain relievers Physical therapy Supportive care
Lung Cancer,Persistent cough,Chest pain,Shortness of breath,Weight loss,Surgery (tumor removal),Unknown,Unknown,Unknown,Persistent cough Chest pain Shortness of breath Weight loss Surgery (tumor removal) Unknown Unknown Unknown
Malaria,Fever,Chills,Headache,Nausea,"Antimalarial drugs (Chloroquine, Artemisinin)",Fluids,Pain relievers,Supportive care,"Fever Chills Headache Nausea Antimalarial drugs (Chloroquine, Artemisinin) Fluids Pain relievers Supportive care"
Meningitis,Stiff neck,Fever,Headache,Sensitivity to light,Antibiotics (if bacterial),Antiviral drugs (if viral),Fluids,Corticosteroids (to reduce inflammation),Stiff neck Fever Headache Sensitivity to light Antibiotics (if bacterial) Antiviral drugs (if viral) Fluids Corticosteroids (to reduce inflammation)
Migraine,Throbbing headache,Nausea,Sensitivity to light and sound,Visual disturbances,Triptans,Nonsteroidal anti-inflammatory drugs (NSAIDs),Anti-nausea medications,Preventive medications (for chronic cases),Throbbing headache Nausea Sensitivity to light and sound Visual disturbances Triptans Nonsteroidal anti-inflammatory drugs (NSAIDs) Anti-nausea medications Preventive medications (for chronic cases)
Multiple Sclerosis (MS),Weakness,Numbness,Fatigue,Vision problems,Immunosuppressants (Interferons),Physical therapy,Plasma exchange,Corticosteroids (for relapses),Weakness Numbness Fatigue Vision problems Immunosuppressants (Interferons) Physical therapy Plasma exchange Corticosteroids (for relapses)
Measles,Fever,Cough,Runny nose,Rash,Supportive care,Vitamin A supplementation,Fluids,Rest,Fever Cough Runny nose Rash Supportive care Vitamin A supplementation Fluids Rest
Mitral Valve Prolapse,Heart murmur,Palpitations,Shortness of breath,Fatigue,Medications (Beta-blockers),Valve repair surgery,Regular monitoring,Antibiotics (to prevent infections),Heart murmur Palpitations Shortness of breath Fatigue Medications (Beta-blockers) Valve repair surgery Regular monitoring Antibiotics (to prevent infections)
Mononucleosis,Fatigue,Sore throat,Swollen lymph nodes,Fever,Rest,Fluids,Pain relievers (acetaminophen),Supportive care,Fatigue Sore throat Swollen lymph nodes Fever Rest Fluids Pain relievers (acetaminophen) Supportive care
Muscular Dystrophy,Progressive muscle weakness,Frequent falls,Difficulty walking,Enlarged calves,Physical therapy,Steroids,Braces and mobility aids,Assistive devices,Progressive muscle weakness Frequent falls Difficulty walking Enlarged calves Physical therapy Steroids Braces and mobility aids Assistive devices
Myocardial Infarction (Heart Attack),Chest pain,Shortness of breath,Sweating,Nausea,Aspirin,Nitroglycerin,Blood thinners (heparin),Angioplasty or stent placement,Chest pain Shortness of breath Sweating Nausea Aspirin Nitroglycerin Blood thinners (heparin) Angioplasty or stent placement
Myasthenia Gravis,Muscle weakness,Drooping eyelids,Difficulty swallowing,Double vision,Anticholinesterase medications,Plasmapheresis,Thymectomy,Supportive care,Muscle weakness Drooping eyelids Difficulty swallowing Double vision Anticholinesterase medications Plasmapheresis Thymectomy Supportive care
Narcolepsy,Excessive daytime sleepiness,Cataplexy,Sleep paralysis,Hallucinations,Stimulants (Modafinil),Antidepressants,Behavioral therapy,Lifestyle changes (sleep schedule management),Excessive daytime sleepiness Cataplexy Sleep paralysis Hallucinations Stimulants (Modafinil) Antidepressants Behavioral therapy Lifestyle changes (sleep schedule management)
Nephrotic Syndrome,Swelling in legs,Foamy urine,Fatigue,Weight gain,Diuretics,ACE inhibitors,Corticosteroids,Protein-restricted diet,Swelling in legs Foamy urine Fatigue Weight gain Diuretics ACE inhibitors Corticosteroids Protein-restricted diet
Neurofibromatosis,Café-au-lait spots,Lumps under skin,Hearing loss,Balance problems,Surgery (to remove tumors),Physical therapy,Hearing aids,Genetic counseling,Café-au-lait spots Lumps under skin Hearing loss Balance problems Surgery (to remove tumors) Physical therapy Hearing aids Genetic counseling
Non-Hodgkin's Lymphoma,Swollen lymph nodes,Fatigue,Weight loss,Night sweats,Chemotherapy,Radiation therapy,Targeted therapy,Bone marrow transplant,Swollen lymph nodes Fatigue Weight loss Night sweats Chemotherapy Radiation therapy Targeted therapy Bone marrow transplant
Norovirus,Nausea,Vomiting,Diarrhea,Stomach cramps,Fluids,Rest,Anti-nausea medications,Oral rehydration salts,Nausea Vomiting Diarrhea Stomach cramps Fluids Rest Anti-nausea medications Oral rehydration salts
Nosebleeds,Bleeding from the nose,Dizziness,Headache,Nausea,Apply pressure (pinch nostrils),Nasal packing,Topical medications (antiseptics),Cauterization (for severe cases),Bleeding from the nose Dizziness Headache Nausea Apply pressure (pinch nostrils) Nasal packing Topical medications (antiseptics) Cauterization (for severe cases)
Numbness and Tingling,Numbness,Tingling,Weakness,Burning sensation,Pain relievers,Physical therapy,Antidepressants (for nerve pain),"Treat underlying cause (e.g., diabetes)","Numbness Tingling Weakness Burning sensation Pain relievers Physical therapy Antidepressants (for nerve pain) Treat underlying cause (e.g., diabetes)"
Nail Fungal Infections,Thickened nails,Discoloration of nails,Brittle nails,Cracked nails,Topical antifungal creams,Oral antifungal medications,Nail removal (in severe cases),Keep nails dry and clean,Thickened nails Discoloration of nails Brittle nails Cracked nails Topical antifungal creams Oral antifungal medications Nail removal (in severe cases) Keep nails dry and clean
Neuralgia,Sharp pain in nerves,Tingling,Burning sensation,Weakness,Anticonvulsants (Gabapentin),Pain relievers,Antidepressants,Nerve blocks or surgery (for severe cases),Sharp pain in nerves Tingling Burning sensation Weakness Anticonvulsants (Gabapentin) Pain relievers Antidepressants Nerve blocks or surgery (for severe cases)
Obesity,Excessive body fat,Fatigue,Shortness of breath,Joint pain,Dietary changes,Exercise plan,Behavioral therapy,Weight loss surgery (in severe cases),Excessive body fat Fatigue Shortness of breath Joint pain Dietary changes Exercise plan Behavioral therapy Weight loss surgery (in severe cases)
Obsessive-Compulsive Disorder (OCD),Obsessive thoughts,Compulsive behaviors,Anxiety,Fatigue,Cognitive-behavioral therapy,Antidepressants (SSRIs),Exposure therapy,Supportive care,Obsessive thoughts Compulsive behaviors Anxiety Fatigue Cognitive-behavioral therapy Antidepressants (SSRIs) Exposure therapy Supportive care
Osteoarthritis,Joint pain,Stiffness,Swelling,Decreased range of motion,Pain relievers (NSAIDs),Physical therapy,Weight management,Joint replacement surgery (severe cases),Joint pain Stiffness Swelling Decreased range of motion Pain relievers (NSAIDs) Physical therapy Weight management Joint replacement surgery (severe cases)
Osteoporosis,Back pain,Fractures,Stooped posture,Loss of height,Calcium and Vitamin D supplements,Weight-bearing exercises,Bisphosphonates,Hormone replacement therapy,Back pain Fractures Stooped posture Loss of height Calcium and Vitamin D supplements Weight-bearing exercises Bisphosphonates Hormone replacement therapy
Otitis Media (Ear Infection),Ear pain,Drainage from the ear,Fever,Hearing loss,Antibiotics,Analgesics,Tympanostomy tubes (for recurrent cases),Ear drops,Ear pain Drainage from the ear Fever Hearing loss Antibiotics Analgesics Tympanostomy tubes (for recurrent cases) Ear drops
Ovarian Cancer,Abdominal bloating,Pelvic pain,Frequent urination,Weight loss,Surgery (to remove tumors),Chemotherapy,Targeted therapy,Supportive care,Abdominal bloating Pelvic pain Frequent urination Weight loss Surgery (to remove tumors) Chemotherapy Targeted therapy Supportive care
Obstructive Sleep Apnea,Loud snoring,Choking during sleep,Excessive daytime sleepiness,Fatigue,Continuous positive airway pressure (CPAP),Mouthpiece (for mild cases),Weight loss,Surgery (in severe cases),Loud snoring Choking during sleep Excessive daytime sleepiness Fatigue Continuous positive airway pressure (CPAP) Mouthpiece (for mild cases) Weight loss Surgery (in severe cases)
Osteomyelitis,Fever,Swelling around affected bone,Pain in the infected area,Fatigue,Antibiotics,Surgery (to remove dead bone),Pain relievers,Supportive care,Fever Swelling around affected bone Pain in the infected area Fatigue Antibiotics Surgery (to remove dead bone) Pain relievers Supportive care
Otitis Externa (Swimmer's Ear),Ear pain,Itching,Redness,Swelling,Antibiotic ear drops,Analgesics,Keeping ear dry,Warm compresses,Ear pain Itching Redness Swelling Antibiotic ear drops Analgesics Keeping ear dry Warm compresses
Optic Neuritis,Blurred vision,Pain with eye movement,Vision loss in one eye,Color vision loss,Corticosteroids,Immunosuppressive therapy,Plasma exchange,"Treat underlying cause (e.g., multiple sclerosis)","Blurred vision Pain with eye movement Vision loss in one eye Color vision loss Corticosteroids Immunosuppressive therapy Plasma exchange Treat underlying cause (e.g., multiple sclerosis)"
Pneumonia,Cough,Fever,Shortness of breath,Chest pain,Antibiotics (if bacterial),Antivirals (if viral),Fluids,Rest,Cough Fever Shortness of breath Chest pain Antibiotics (if bacterial) Antivirals (if viral) Fluids Rest
Pancreatitis,Upper abdominal pain,Nausea,Vomiting,Fever,Fluids,Pain relievers,IV nutrition,Surgery (for complications),Upper abdominal pain Nausea Vomiting Fever Fluids Pain relievers IV nutrition Surgery (for complications)
Parkinson's Disease,Tremors,Slowed movement,Stiff muscles,Balance problems,Dopamine replacement therapy,Physical therapy,Deep brain stimulation,Speech therapy,Tremors Slowed movement Stiff muscles Balance problems Dopamine replacement therapy Physical therapy Deep brain stimulation Speech therapy
Psoriasis,Red patches of skin,"Scaly, silver plaques",Itching,"Dry, cracked skin",Topical corticosteroids,Light therapy,Systemic medications (Methotrexate),Moisturizers,"Red patches of skin Scaly, silver plaques Itching Dry, cracked skin Topical corticosteroids Light therapy Systemic medications (Methotrexate) Moisturizers"
Pelvic Inflammatory Disease (PID),Lower abdominal pain,Fever,Unusual vaginal discharge,Pain during intercourse,Antibiotics,Rest,Pain relievers,Surgery (in severe cases),Lower abdominal pain Fever Unusual vaginal discharge Pain during intercourse Antibiotics Rest Pain relievers Surgery (in severe cases)
Peptic Ulcer Disease,Burning stomach pain,Bloating,Nausea,Heartburn,Proton pump inhibitors,Antibiotics (if H. pylori infection),Antacids,Lifestyle changes (diet modification),Burning stomach pain Bloating Nausea Heartburn Proton pump inhibitors Antibiotics (if H. pylori infection) Antacids Lifestyle changes (diet modification)
Pneumothorax,Shortness of breath,Chest pain,Rapid heart rate,Fatigue,Chest tube insertion,Observation (for small cases),Pain relievers,Surgery (in severe cases),Shortness of breath Chest pain Rapid heart rate Fatigue Chest tube insertion Observation (for small cases) Pain relievers Surgery (in severe cases)
Psoriatic Arthritis,Joint pain,Stiffness,Swollen fingers and toes,Scaly skin patches,Nonsteroidal anti-inflammatory drugs (NSAIDs),DMARDs (Methotrexate),Biologics (TNF inhibitors),Physical therapy,Joint pain Stiffness Swollen fingers and toes Scaly skin patches Nonsteroidal anti-inflammatory drugs (NSAIDs) DMARDs (Methotrexate) Biologics (TNF inhibitors) Physical therapy
Pulmonary Embolism,Chest pain,Shortness of breath,Coughing up blood,Fast heart rate,Blood thinners (Heparin),Clot-busting medications (Thrombolytics),Surgery (in severe cases),Supportive care,Chest pain Shortness of breath Coughing up blood Fast heart rate Blood thinners (Heparin) Clot-busting medications (Thrombolytics) Surgery (in severe cases) Supportive care
Pancreatic Cancer,Abdominal pain,Weight loss,Jaundice,Diabetes,Surgery (Whipple procedure),Chemotherapy,Radiation therapy,Pain management,Abdominal pain Weight loss Jaundice Diabetes Surgery (Whipple procedure) Chemotherapy Radiation therapy Pain management
Q Fever,Fever,Chills,Muscle pain,Fatigue,Antibiotics (Doxycycline),Rest,Fluids,Pain relievers (NSAIDs),Fever Chills Muscle pain Fatigue Antibiotics (Doxycycline) Rest Fluids Pain relievers (NSAIDs)
Quadriplegia,Paralysis of arms and legs,Loss of sensation,Difficulty breathing,Bladder and bowel dysfunction,Physical therapy,Assistive devices (wheelchairs),Respiratory support,Surgery (spinal stabilization),Paralysis of arms and legs Loss of sensation Difficulty breathing Bladder and bowel dysfunction Physical therapy Assistive devices (wheelchairs) Respiratory support Surgery (spinal stabilization)
Quinsy (Peritonsillar Abscess),Severe sore throat,Fever,Swollen tonsils,Swelling around tonsils,Antibiotics,Surgical drainage,Pain relievers,Fluids,Severe sore throat Fever Swollen tonsils Swelling around tonsils Antibiotics Surgical drainage Pain relievers Fluids
Queyrat's Erythroplasia,Red patches on genitals,Itching,Burning sensation,Painful lesions,Topical chemotherapy (5-fluorouracil),Laser therapy,Surgery,Photodynamic therapy,Red patches on genitals Itching Burning sensation Painful lesions Topical chemotherapy (5-fluorouracil) Laser therapy Surgery Photodynamic therapy
Rabies,Fever,Headache,Confusion,Hallucinations,Rabies vaccine,Immune globulin,Supportive care,Pain relievers,Fever Headache Confusion Hallucinations Rabies vaccine Immune globulin Supportive care Pain relievers
Raynaud's Disease,Cold fingers and toes,White or blue fingers,Numbness,Tingling,Calcium channel blockers,Warm compresses,Avoid cold exposure,Smoking cessation,Cold fingers and toes White or blue fingers Numbness Tingling Calcium channel blockers Warm compresses Avoid cold exposure Smoking cessation
Rheumatoid Arthritis,Joint pain,Swelling,Stiffness,Fatigue,DMARDs (Methotrexate),Biologic agents (TNF inhibitors),Physical therapy,Pain relievers (NSAIDs),Joint pain Swelling Stiffness Fatigue DMARDs (Methotrexate) Biologic agents (TNF inhibitors) Physical therapy Pain relievers (NSAIDs)
Rickets,Delayed growth,Bone pain,Weakness,Bowed legs,Vitamin D supplements,Calcium supplements,Physical therapy,Surgery (in severe cases),Delayed growth Bone pain Weakness Bowed legs Vitamin D supplements Calcium supplements Physical therapy Surgery (in severe cases)
Ringworm,"Itchy, red rash",Ring-shaped patches of skin,Scaly skin,Hair loss (if on scalp),Topical antifungal creams,Oral antifungal medications,Keep area dry,Good hygiene,"Itchy, red rash Ring-shaped patches of skin Scaly skin Hair loss (if on scalp) Topical antifungal creams Oral antifungal medications Keep area dry Good hygiene"
Rosacea,Facial redness,Visible blood vessels,Swollen nose,Pimples,Topical antibiotics (Metronidazole),Oral antibiotics,Laser therapy,Moisturizers,Facial redness Visible blood vessels Swollen nose Pimples Topical antibiotics (Metronidazole) Oral antibiotics Laser therapy Moisturizers
Rubella (German Measles),Rash,Fever,Swollen lymph nodes,Joint pain,Supportive care,Rest,Fluids,Pain relievers (NSAIDs),Rash Fever Swollen lymph nodes Joint pain Supportive care Rest Fluids Pain relievers (NSAIDs)
Rhabdomyolysis,Muscle pain,Weakness,Dark urine,Nausea,IV fluids,Dialysis (if kidney damage),Pain relievers,Rest,Muscle pain Weakness Dark urine Nausea IV fluids Dialysis (if kidney damage) Pain relievers Rest
Respiratory Syncytial Virus (RSV),Coughing,Wheezing,Fever,Runny nose,Supportive care,Fluids,Rest,Oxygen therapy (if severe),Coughing Wheezing Fever Runny nose Supportive care Fluids Rest Oxygen therapy (if severe)
Retinitis Pigmentosa,Night blindness,Tunnel vision,Difficulty adjusting to light,Loss of peripheral vision,No cure available,Low vision aids,Vitamin A supplements,Genetic counseling,Night blindness Tunnel vision Difficulty adjusting to light Loss of peripheral vision No cure available Low vision aids Vitamin A supplements Genetic counseling
Scabies,Intense itching,Rash,Burrow marks on skin,Blisters,Topical scabicides (Permethrin),Oral Ivermectin,Antihistamines,Wash personal items in hot water,Intense itching Rash Burrow marks on skin Blisters Topical scabicides (Permethrin) Oral Ivermectin Antihistamines Wash personal items in hot water
Sickle Cell Anemia,Pain episodes,Anemia,Swelling of hands and feet,Frequent infections,Pain relievers,Blood transfusions,Hydroxyurea,Stem cell transplant (in severe cases),Pain episodes Anemia Swelling of hands and feet Frequent infections Pain relievers Blood transfusions Hydroxyurea Stem cell transplant (in severe cases)
Shingles,Painful rash,Blisters,Itching,Tingling,Antiviral medications (Acyclovir),Pain relievers,Calamine lotion,Shingles vaccine (preventive),Painful rash Blisters Itching Tingling Antiviral medications (Acyclovir) Pain relievers Calamine lotion Shingles vaccine (preventive)
Sinusitis,Facial pain,Congestion,Headache,Postnasal drip,Decongestants,Antibiotics (if bacterial),Nasal corticosteroids,Saline nasal spray,Facial pain Congestion Headache Postnasal drip Decongestants Antibiotics (if bacterial) Nasal corticosteroids Saline nasal spray
Septicemia (Blood Poisoning),Fever,Chills,Rapid heart rate,Confusion,Intravenous antibiotics,IV fluids,Vasopressors,Supportive care,Fever Chills Rapid heart rate Confusion Intravenous antibiotics IV fluids Vasopressors Supportive care
Scarlet Fever,Sore throat,Fever,Rash,Strawberry tongue,Antibiotics (Penicillin),Pain relievers,Fluids,Rest,Sore throat Fever Rash Strawberry tongue Antibiotics (Penicillin) Pain relievers Fluids Rest
Schizophrenia,Hallucinations,Delusions,Disorganized speech,Withdrawal from social activities,Antipsychotic medications,Cognitive behavioral therapy,Psychosocial interventions,Supportive care,Hallucinations Delusions Disorganized speech Withdrawal from social activities Antipsychotic medications Cognitive behavioral therapy Psychosocial interventions Supportive care
Strep Throat,Sore throat,Fever,Swollen lymph nodes,Red tonsils with white patches,Antibiotics (Penicillin),Pain relievers,Fluids,Rest,Sore throat Fever Swollen lymph nodes Red tonsils with white patches Antibiotics (Penicillin) Pain relievers Fluids Rest
Stroke,Sudden weakness on one side of the body,Difficulty speaking,Facial droop,Loss of balance,Thrombolytics,Clot removal surgery,Rehabilitation (physical therapy),Blood pressure management,Sudden weakness on one side of the body Difficulty speaking Facial droop Loss of balance Thrombolytics Clot removal surgery Rehabilitation (physical therapy) Blood pressure management
